Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.19.24.99-122.228.255.206-63229-443-6,172.19.24.99,63229,122.228.255.206,443,6,16/10/2022 04:16:01 下午,800091,2,0,48,0,24,24,24,0,0,0,0,0,59.99317578,2.499715657,800091,0,800091,800091,800091,800091,0,800091,800091,0,0,0,0,0,1,0,0,0,40,0,2.499715657,0,24,24,24,0,0,2,0,0,2,2,0,0,0,0,36,24,0,0,0,0,0,0,0,1,24,0,0,4151,0,1,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-122.228.255.206-63214-443-6,172.19.24.99,63214,122.228.255.206,443,6,16/10/2022 04:16:03 下午,2160296,2,0,48,0,24,24,24,0,0,0,0,0,22.21917737,0.925799057,2160296,0,2160296,2160296,2160296,2160296,0,2160296,2160296,0,0,0,0,0,1,0,0,0,40,0,0.925799057,0,24,24,24,0,0,2,0,0,2,2,0,0,0,0,36,24,0,0,0,0,0,0,0,1,24,0,0,1026,0,1,20,0,0,0,0,0,0,0,0,No Label
61.151.206.37-172.19.24.99-443-63374-6,61.151.206.37,443,172.19.24.99,63374,6,16/10/2022 04:16:06 下午,0,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,0,31,20.66666667,17.89785834,320.3333333,1,0,0,1,2,0,0,0,0,31,15.5,0,0,0,0,0,0,0,1,15,0,0,135,0,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-122.228.255.206-63229-443-6,172.19.24.99,63229,122.228.255.206,443,6,16/10/2022 04:16:04 下午,2990143,2,0,48,0,24,24,24,0,0,0,0,0,16.05274397,0.668864332,2990143,0,2990143,2990143,2990143,2990143,0,2990143,2990143,0,0,0,0,0,1,0,0,0,40,0,0.668864332,0,24,24,24,0,0,2,0,0,2,2,0,0,0,0,36,24,0,0,0,0,0,0,0,1,24,0,0,4151,0,1,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-122.228.255.206-63214-443-6,172.19.24.99,63214,122.228.255.206,443,6,16/10/2022 04:16:07 下午,2154807,2,0,48,0,24,24,24,0,0,0,0,0,22.2757769,0.928157371,2154807,0,2154807,2154807,2154807,2154807,0,2154807,2154807,0,0,0,0,0,1,0,0,0,40,0,0.928157371,0,24,24,24,0,0,2,0,0,2,2,0,0,0,0,36,24,0,0,0,0,0,0,0,1,24,0,0,1026,0,1,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-122.228.255.206-63229-443-6,172.19.24.99,63229,122.228.255.206,443,6,16/10/2022 04:16:10 下午,2992847,2,0,48,0,24,24,24,0,0,0,0,0,16.03824051,0.668260021,2992847,0,2992847,2992847,2992847,2992847,0,2992847,2992847,0,0,0,0,0,1,0,0,0,40,0,0.668260021,0,24,24,24,0,0,2,0,0,2,2,0,0,0,0,36,24,0,0,0,0,0,0,0,1,24,0,0,4151,0,1,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-20.212.96.199-63404-443-6,172.19.24.99,63404,20.212.96.199,443,6,16/10/2022 04:16:12 下午,2014901,8,8,2103,6147,1281,0,262.875,442.4830707,1460,0,768.375,673.2140261,4094.493973,7.940836795,134326.7333,223394.2811,511595,0,1503733,214819,254026.1513,512073,379,1552182,221740.2857,277017.1366,536054,0,0,0,0,0,172,172,3.970418398,3.970418398,0,1460,485.2941176,602.8790058,363463.0956,1,2,0,7,15,0,0,0,1,515.625,262.875,768.375,0,0,0,0,10,5331,0,131,0,384,65535,2053,4,20,0,0,0,0,1.67E+15,524986.0403,1.67E+15,1.67E+15,No Label
172.19.24.99-20.212.96.199-63404-443-6,172.19.24.99,63404,20.212.96.199,443,6,16/10/2022 04:16:14 下午,65,2,0,0,0,0,0,0,0,0,0,0,0,0,30769.23077,65,0,65,65,65,65,0,65,65,0,0,0,0,0,0,0,0,0,40,0,30769.23077,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1020,0,0,20,0,0,0,0,0,0,0,0,No Label
172.19.24.99-1.192.192.180-63418-80-6,172.19.24.99,63418,1.192.192.180,80,6,16/10/2022 04:16:17 下午,522449,2,4,555,298,555,0,277.5,392.4442636,298,0,74.5,149,1632.695249,11.48437455,104489.8,157052.7191,354516,0,356414,356414,0,356414,356414,167933,55977.66667,96956.16276,167933,0,0,0,0,0,52,88,3.82812485,7.656249701,0,555,121.8571429,220.9392289,48814.14286,1,2,0,2,5,0,0,0,2,142.1666667,277.5,74.5,0,0,0,0,0,0,0,92,0,49,64240,237,1,20,0,0,0,0,1.67E+15,265085.9871,1.67E+15,1.67E+15,No Label
172.19.24.99-180.163.151.34-63415-443-6,172.19.24.99,63415,180.163.151.34,443,6,16/10/2022 04:16:16 下午,1122845,7,7,591,4802,517,0,84.42857143,192.7293933,1460,0,686,739.2239174,4802.978149,12.46832822,86372.69231,180740.7072,635406,0,1122845,187140.8333,261867.4531,636692,306,449153,74858.83333,100990.7125,254089,0,0,0,0,0,164,164,6.23416411,6.23416411,0,1460,359.5333333,592.0114462,350477.5524,1,3,0,3,13,0,0,0,1,385.2142857,84.42857143,686,0,0,0,0,6,11120,0,42,0,343,64240,261,2,20,0,0,0,0,1.67E+15,330353.4497,1.67E+15,1.67E+15,No Label
